counterparty_acct_id,acct_stat_dt_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
1507,16,352.16,1,352.16,NaN,352.16,352.16,352.16,NaN,0.0,NaN,NaN,352.16,0.0,NaN,NaN
6036,3,252.825,2,489.7,-2.0,15.95,489.7,15.95,0.0,236.875,334.9918375871269,334.9918375871269,505.65,56109.765625,112219.53125,112219.53125
2183,27,1018.22,1,1018.22,NaN,1018.22,1018.22,1018.22,NaN,0.0,NaN,NaN,1018.22,0.0,NaN,NaN
3125,27,830.0,1,830.0,NaN,830.0,830.0,830.0,NaN,0.0,NaN,NaN,830.0,0.0,NaN,NaN
6091,12,163.1,1,163.1,NaN,163.1,163.1,163.1,NaN,0.0,NaN,NaN,163.1,0.0,NaN,NaN
3880,13,459.79,1,459.79,NaN,459.79,459.79,459.79,NaN,0.0,NaN,NaN,459.79,0.0,NaN,NaN
2054,1,256.38,1,256.38,NaN,256.38,256.38,256.38,NaN,0.0,NaN,NaN,256.38,0.0,NaN,NaN
5870,20,131.45,2,160.9,-1.9999999999999998,102.0,160.9,102.0,0.0,29.450000000000003,41.64858941188765,41.64858941188765,262.9,867.3025000000001,1734.6050000000002,1734.6050000000002
6222,7,214.69,1,214.69,NaN,214.69,214.69,214.69,NaN,0.0,NaN,NaN,214.69,0.0,NaN,NaN
4957,28,250.9,1,250.9,NaN,250.9,250.9,250.9,NaN,0.0,NaN,NaN,250.9,0.0,NaN,NaN
5749,17,283.33,1,283.33,NaN,283.33,283.33,283.33,NaN,0.0,NaN,NaN,283.33,0.0,NaN,NaN
6850,16,284.68,1,284.68,NaN,284.68,284.68,284.68,NaN,0.0,NaN,NaN,284.68,0.0,NaN,NaN
2993,12,162.57,1,162.57,NaN,162.57,162.57,162.57,NaN,0.0,NaN,NaN,162.57,0.0,NaN,NaN
3315,18,194.21,1,194.21,NaN,194.21,194.21,194.21,NaN,0.0,NaN,NaN,194.21,0.0,NaN,NaN
4304,20,310.48,1,310.48,NaN,310.48,310.48,310.48,NaN,0.0,NaN,NaN,310.48,0.0,NaN,NaN
6061,11,641.67,1,641.67,NaN,641.67,641.67,641.67,NaN,0.0,NaN,NaN,641.67,0.0,NaN,NaN
5239,27,507.54,1,507.54,NaN,507.54,507.54,507.54,NaN,0.0,NaN,NaN,507.54,0.0,NaN,NaN
6858,3,484.8,1,484.8,NaN,484.8,484.8,484.8,NaN,0.0,NaN,NaN,484.8,0.0,NaN,NaN
4994,8,326.4,1,326.4,NaN,326.4,326.4,326.4,NaN,0.0,NaN,NaN,326.4,0.0,NaN,NaN
5739,26,717.8,1,717.8,NaN,717.8,717.8,717.8,NaN,0.0,NaN,NaN,717.8,0.0,NaN,NaN
6194,7,20.8,1,20.8,NaN,20.8,20.8,20.8,NaN,0.0,NaN,NaN,20.8,0.0,NaN,NaN
6164,2,352.23,1,352.23,NaN,352.23,352.23,352.23,NaN,0.0,NaN,NaN,352.23,0.0,NaN,NaN
6151,11,164.34,1,164.34,NaN,164.34,164.34,164.34,NaN,0.0,NaN,NaN,164.34,0.0,NaN,NaN
4488,5,229.04,1,229.04,NaN,229.04,229.04,229.04,NaN,0.0,NaN,NaN,229.04,0.0,NaN,NaN
5996,12,274.68,2,282.45,-1.9999999999999978,266.91,282.45,266.91,4.847045825621341E-16,7.769999999999982,10.988439379638923,10.988439379638923,549.36,60.37289999999972,120.74579999999943,120.74579999999943
5788,11,539.97,1,539.97,NaN,539.97,539.97,539.97,NaN,0.0,NaN,NaN,539.97,0.0,NaN,NaN
2759,25,228.99,1,228.99,NaN,228.99,228.99,228.99,NaN,0.0,NaN,NaN,228.99,0.0,NaN,NaN
4189,3,276.85,1,276.85,NaN,276.85,276.85,276.85,NaN,0.0,NaN,NaN,276.85,0.0,NaN,NaN
3190,1,107.76,1,107.76,NaN,107.76,107.76,107.76,NaN,0.0,NaN,NaN,107.76,0.0,NaN,NaN
4105,3,39.0,1,39.0,NaN,39.0,39.0,39.0,NaN,0.0,NaN,NaN,39.0,0.0,NaN,NaN
4123,18,1080.48,1,1080.48,NaN,1080.48,1080.48,1080.48,NaN,0.0,NaN,NaN,1080.48,0.0,NaN,NaN
3906,15,300.02,1,300.02,NaN,300.02,300.02,300.02,NaN,0.0,NaN,NaN,300.02,0.0,NaN,NaN
4570,3,72.24,1,72.24,NaN,72.24,72.24,72.24,NaN,0.0,NaN,NaN,72.24,0.0,NaN,NaN
